2011-10-26 19:01:25 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 164]
2011-10-26 19:01:25 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 171]
2011-10-26 19:01:46 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 161]
2011-10-26 19:01:46 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 162]
2011-10-26 19:01:46 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 164]
2011-10-26 19:01:46 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 171]
2011-10-26 19:01:47 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:01:47 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:01:48 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 161]
2011-10-26 19:01:48 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 162]
2011-10-26 19:01:48 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 164]
2011-10-26 19:01:48 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 171]
2011-10-26 19:04:26 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:04:26 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:04:38 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 159]
2011-10-26 19:04:38 Debug: Notice (8): Undefined index: oauth_verifier in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 159]
2011-10-26 19:04:39 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:04:39 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:04:39 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 161]
2011-10-26 19:04:39 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 162]
2011-10-26 19:04:39 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 164]
2011-10-26 19:04:39 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 171]
2011-10-26 19:04:40 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 159]
2011-10-26 19:04:40 Debug: Notice (8): Undefined index: oauth_verifier in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 159]
2011-10-26 19:04:41 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:04:41 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:04:41 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 161]
2011-10-26 19:04:41 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 162]
2011-10-26 19:04:41 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 164]
2011-10-26 19:04:41 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 171]
2011-10-26 19:05:29 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 161]
2011-10-26 19:05:29 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 162]
2011-10-26 19:05:29 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 164]
2011-10-26 19:05:29 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 171]
2011-10-26 19:05:31 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:05:31 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 19:05:31 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 161]
2011-10-26 19:05:31 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 162]
2011-10-26 19:05:31 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 164]
2011-10-26 19:05:31 Debug: Notice (8): Undefined index: screen_name in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 171]
2011-10-26 19:19:08 Debug: Notice (8): Undefined variable: twitter_user in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 22]
2011-10-26 19:44:41 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\usuarios\view.ctp, line 11]
2011-10-26 19:44:41 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\usuarios\view.ctp, line 16]
2011-10-26 19:44:41 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\layouts\default.ctp, line 36]
2011-10-26 19:48:31 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\usuarios\view.ctp, line 11]
2011-10-26 19:48:31 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\usuarios\view.ctp, line 16]
2011-10-26 19:48:31 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\layouts\default.ctp, line 36]
2011-10-26 19:51:28 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\usuarios\view.ctp, line 11]
2011-10-26 19:51:28 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\usuarios\view.ctp, line 16]
2011-10-26 19:51:28 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\layouts\default.ctp, line 36]
2011-10-26 19:54:10 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\layouts\default.ctp, line 36]
2011-10-26 20:04:16 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 20:04:16 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 20:04:55 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\usuarios\view.ctp, line 11]
2011-10-26 20:04:55 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\usuarios\view.ctp, line 16]
2011-10-26 20:04:55 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\layouts\default.ctp, line 36]
2011-10-26 20:04:57 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\usuarios\view.ctp, line 11]
2011-10-26 20:04:57 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\usuarios\view.ctp, line 16]
2011-10-26 20:04:57 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\layouts\default.ctp, line 36]
2011-10-26 20:11:55 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 20:11:55 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-26 20:12:59 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\layouts\default.ctp, line 36]
2011-10-26 20:37:53 Debug: Notice (8): Undefined variable: usuario in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 25]
2011-10-26 20:40:34 Debug: Notice (8): Undefined variable: usuario in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 25]
2011-10-26 20:41:20 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\eventos\index.ctp, line 29]
2011-10-26 20:41:30 Debug: Notice (8): Undefined variable: usuario in [C:\xampp\htdocs\twitevent\app\views\eventos\view.ctp, line 39]
2011-10-26 20:41:30 Debug: Notice (8): Undefined variable: usuario in [C:\xampp\htdocs\twitevent\app\views\eventos\view.ctp, line 40]
2011-10-26 20:41:30 Debug: Notice (8): Undefined variable: usuario in [C:\xampp\htdocs\twitevent\app\views\eventos\view.ctp, line 41]
2011-10-26 20:41:30 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\eventos\view.ctp, line 72]
2011-10-26 20:42:44 Debug: Notice (8): Undefined variable: usuario in [C:\xampp\htdocs\twitevent\app\views\eventos\view.ctp, line 39]
2011-10-26 20:42:44 Debug: Notice (8): Undefined variable: usuario in [C:\xampp\htdocs\twitevent\app\views\eventos\view.ctp, line 40]
2011-10-26 20:42:44 Debug: Notice (8): Undefined variable: usuario in [C:\xampp\htdocs\twitevent\app\views\eventos\view.ctp, line 41]
2011-10-26 20:42:44 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\eventos\view.ctp, line 72]
2011-10-26 20:45:32 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\eventos\view.ctp, line 72]
2011-10-26 20:49:29 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\eventos\index.ctp, line 29]
2011-10-26 21:06:43 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 135]
2011-10-26 21:06:43 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 135]
2011-10-26 21:12:53 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 135]
2011-10-26 21:12:53 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 135]
2011-10-26 21:14:30 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 135]
2011-10-26 21:14:30 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 135]
2011-10-26 21:17:12 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 135]
2011-10-26 21:17:12 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 135]
2011-10-26 22:02:04 Debug: Notice (8): Undefined property: EventosController::$Html in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 34]
2011-10-26 22:02:38 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\eventos\index.ctp, line 29]
2011-10-26 22:04:24 Debug: Notice (8): Undefined property: EventosController::$Html in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 34]
2011-10-26 22:04:41 Debug: Notice (8): Undefined property: EventosController::$Html in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 36]
2011-10-26 22:05:13 Debug: Notice (8): Undefined property: EventosController::$Html in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 36]
2011-10-26 22:06:13 Debug: Notice (8): Undefined property: EventosController::$Html in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 37]
2011-10-26 22:06:41 Debug: Notice (8): Undefined property: EventosController::$Html in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 38]
2011-10-26 22:08:23 Debug: Notice (8): Undefined property: EventosController::$Html in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 38]
2011-10-26 22:08:31 Debug: Notice (8): Undefined variable: Html in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 38]
2011-10-26 22:09:39 Debug: Notice (8): Undefined variable: html in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 38]
2011-10-26 22:13:08 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 40]
2011-10-26 22:17:43 Debug: Notice (8): Undefined variable: usuario in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 30]
2011-10-26 22:18:33 Debug: Notice (8): Undefined index: twitter_user in [C:\xampp\htdocs\twitevent\app\views\eventos\index.ctp, line 29]
2011-10-26 22:19:06 Debug: Notice (8): Undefined variable: usuario in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 30]
2011-10-26 22:21:10 Debug: Notice (8): Undefined variable: usuario in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 30]
2011-10-27 03:03:09 Debug: Notice (8): Undefined variable: usuario in [C:\xampp\htdocs\twitevent\app\controllers\eventos_controller.php, line 30]
2011-10-27 04:17:47 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:17:47 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:19:00 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:19:00 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:20:25 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:20:25 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:25:16 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
